State,state_prop_white,state_prop_black,state_prop_asian,state_prop_hisp
Alabama,0.11048039344226901,-0.11102113674091918,-0.007703187755894443,-0.010264052220219144
Alaska,-0.059963077098087125,-0.0168207229051974,-0.042217246944505946,-0.06751106372527796
Arizona,0.11138167722063158,-0.005128226760187177,0.04966125474896705,-0.14047762822998677
Arkansas,-0.048186403453588156,-0.11924774077518632,0.0018064859125282579,0.14631070934397378
California,0.07253548983441815,0.02569801882905256,-0.04868167100133773,-0.07456632547483677
Colorado,-0.06469494433145001,-0.014617502488172833,0.030755721786244875,0.04184106236120139
Connecticut,-0.42997068343662626,0.3049292652726489,-0.022619363567722203,0.1606491479792347
Delaware,-0.1337763142942412,-0.08243728910040837,0.03814475214791442,-0.08065220424812665
District Of Columbia,-0.07135305734109637,-0.1281557056706586,0.00317334139006574,0.1952011508563721
Florida,-0.004545330471370512,0.010728244605165388,-0.004111612706456054,-0.05201217656656498
Georgia,-0.01546109525572631,0.07583465427866076,-0.020180067091145417,-0.03586581552219295
Hawaii,0.09066553515264167,-0.005933401655570981,-0.13801216012713585,-0.058877178332322616
Idaho,0.030070621265490427,0.004340867377110201,0.005209191245067031,-0.0655773945010256
Illinois,-0.20707474473258425,0.12027055871735556,0.03727555607458889,0.05678649132093405
Indiana,0.07045349565833003,-0.03168924558836647,-0.010708694261334434,-0.04009425002571412
Iowa,-0.054163878121477826,0.06862339235435116,-0.011051877077302378,-0.02843734057551188
Kansas,0.06501666642657844,-0.02618586150108408,-0.010591573363175972,-0.06727205184115127
Kentucky,-0.07312939569412774,-0.045624567286328244,0.013128948812250782,0.1048412205234678
Louisiana,-0.27415376807361647,0.24999580685089043,0.004163831182874406,0.03278920977247356
Maine,0.5179025726445075,-0.2954735612222522,-0.047053258041618425,-0.13780617226059047
Maryland,-0.5405112826293212,0.7134637169272888,-0.020448459341195976,-0.12023553276858387
Massachusetts,-0.27992918730081073,0.07211890529630083,0.04646892254490596,0.18578914958649
Michigan,-0.007115657734298231,0.0752301440887504,-0.04364957773772499,-0.0190926469120912
Minnesota,-0.04782699909507537,-0.2993316409194251,0.09280160063495738,0.043500950609743357
Mississippi,-0.0077606784840269505,0.030960954828226223,-0.01729240841785345,-0.05846352596403752
Missouri,-0.10294895779578783,0.05777372524438406,0.00611429015987288,-0.1249097072222966
Nebraska,0.5314503926300499,-0.09493741323448107,-0.05416247614225991,-0.33265992724870297
Nevada,-0.09105989285277505,-0.022610107541492383,-0.034489022397942166,0.10135219905662757
New Jersey,0.011040974250596275,0.18177311677412528,0.07932769245606558,-0.1608348344723033
New Mexico,-0.12123738532687084,-0.13254389372340913,-0.06307052299159967,0.2771923217901845
New York,-0.2846183428251573,0.13250960782007215,0.04098559625253597,0.14519743791217626
North Carolina,-0.20654772501240326,0.1896893080740831,0.011297766225794613,0.056463351291643454
North Dakota,0.052683965270918454,-0.1379569155501811,-0.014726987522057363,0.007829274393212765
Ohio,0.12217242498241232,0.14528440198077922,-0.006215770455737861,-0.11563771020487479
Oregon,0.08315231134806089,-0.010071708870521646,-0.018870265168230038,-0.0966145844612615
Pennsylvania,-0.03467768053282971,0.05516336752599851,-0.008453017303649946,-0.010629076920080624
Rhode Island,-0.4795968942769128,0.10139148789212302,-0.014531473720120917,0.35984486742907734
South Carolina,-0.004016098799304757,0.010993092908965052,-0.006824189220128068,0.0053286350521750125
South Dakota,-0.07445671318720537,-0.028262070851506622,0.003166495942006145,-0.04128012208744501
Tennessee,0.054402348588026284,0.0046814727829014025,0.010590613463031712,-0.04638444727722297
Texas,3.440387482367968e-4,-0.01903404937596917,-0.010020803399393978,0.006616770297450225
Utah,-0.0037074532532456184,-5.238225717416126e-4,0.0021785050774554265,0.010167811198201537
Virginia,0.04239124074053302,-0.06956968319179663,0.02410620571440207,-0.019928850473418455
Washington,-0.05124234951802559,-0.00828472060756165,-0.028875433859962704,-0.06448650145528362
Wisconsin,-0.06712300154742912,0.09826614360025886,-0.0035630559936806125,-0.023052491440860995
Wyoming,0.09382285210178387,-0.0033940183941890177,-0.0035055902543068727,-0.04650215391313313
